Name,Alternating,DT Name,DT Rank,DT Notation,Conway Notation,Gauss Notation,PD Notation,Crossing Number,Unknotting Number,Bridge Index,Braid Index,Braid Length,Braid Notation,Symmetry Type,Full Symmetry Group,Montesinos Notation
12a_600,Y,12a_600,1402,[4; 12; 16; 20; 22; 14; 2; 10; 24; 6; 8; 18],[4 2 1 3 2],{1; -2; 3; -1; 4; -5; 6; -7; 8; -9; 10; -3; 2; -10; 9; -4; 11; -12; 5; -6; 7; -8; 12; -11},[[1;5;2;4];[3;12;4;13];[5;17;6;16];[7;21;8;20];[9;23;10;22];[11;15;12;14];[13;2;14;3];[15;11;16;10];[17;1;18;24];[19;7;20;6];[21;9;22;8];[23;19;24;18]],12,[2;3],2,5,,{-1;2;2;2;2;1;1;2;-3;-4;2;3;-4;3},reversible,D2,K(25/109)
12a_601,Y,12a_601,1403,[4; 12; 16; 20; 22; 14; 2; 10; 24; 8; 6; 18],[3 1 2 1 3 2],{1; -2; 3; -1; 4; -5; 6; -7; 8; -9; 10; -3; 2; -10; 9; -4; 11; -12; 7; -6; 5; -8; 12; -11},[[1;5;2;4];[3;12;4;13];[5;17;6;16];[7;21;8;20];[9;23;10;22];[11;15;12;14];[13;2;14;3];[15;11;16;10];[17;1;18;24];[19;9;20;8];[21;7;22;6];[23;19;24;18]],12,2,2,6,,{-1;-2;3;4;5;5;4;-5;4;3;-4;2;-1;2;3},reversible,D2,K(34/127)
12a_602,Y,12a_602,1404,[4; 12; 16; 22; 14; 2; 18; 20; 24; 10; 6; 8],[8*2 1:.3 0],{1; -2; 3; -1; 4; -5; 6; -7; 8; -9; 2; -3; 10; -8; 11; -4; 12; -10; 9; -11; 5; -6; 7; -12},[[1;5;2;4];[3;13;4;12];[5;17;6;16];[7;22;8;23];[9;14;10;15];[11;3;12;2];[13;19;14;18];[15;20;16;21];[17;1;18;24];[19;11;20;10];[21;6;22;7];[23;8;24;9]],12,2,3,4,,{-1;2;-1;-1;-1;2;3;3;3;2;-1;2;-3},chiral,1,Not Montesinos
12a_603,Y,12a_603,1405,[4; 12; 16; 22; 14; 2; 18; 20; 24; 10; 8; 6],[8*3:.2 1],{1; -2; 3; -1; 4; -5; 6; -7; 8; -9; 2; -3; 10; -8; 11; -4; 12; -10; 9; -11; 7; -6; 5; -12},[[1;5;2;4];[3;13;4;12];[5;17;6;16];[7;22;8;23];[9;14;10;15];[11;3;12;2];[13;19;14;18];[15;20;16;21];[17;1;18;24];[19;11;20;10];[21;8;22;9];[23;6;24;7]],12,2,3,5,,{-1;2;3;-4;-1;-2;3;-2;3;4;4;4;3;-2},chiral,1,Not Montesinos
12a_604,Y,12a_604,1406,[4; 12; 16; 22; 14; 20; 2; 8; 24; 10; 18; 6],[2.2 1.2 0.2 1],{1; -2; 3; -1; 4; -5; 6; -7; 8; -9; 10; -3; 2; -8; 7; -4; 11; -12; 9; -10; 12; -6; 5; -11},[[1;5;2;4];[3;12;4;13];[5;17;6;16];[7;22;8;23];[9;15;10;14];[11;21;12;20];[13;2;14;3];[15;9;16;8];[17;1;18;24];[19;11;20;10];[21;19;22;18];[23;6;24;7]],12,1,3,6,,{-1;2;3;-4;5;-1;-3;5;2;4;-3;2;4;5;-3},chiral,1,Not Montesinos
12a_605,Y,12a_605,1407,[4; 12; 16; 22; 18; 2; 10; 20; 24; 14; 6; 8],[.2 2.2 0.3],{1; -2; 3; -1; 4; -5; 6; -7; 8; -9; 2; -3; 9; -10; 11; -4; 12; -8; 10; -11; 5; -6; 7; -12},[[1;5;2;4];[3;13;4;12];[5;17;6;16];[7;22;8;23];[9;18;10;19];[11;3;12;2];[13;11;14;10];[15;20;16;21];[17;1;18;24];[19;14;20;15];[21;6;22;7];[23;8;24;9]],12,2,3,4,,{-1;-1;2;-3;-1;2;2;3;-1;3;-1;2;-1},chiral,1,Not Montesinos
12a_606,Y,12a_606,1408,[4; 12; 16; 22; 18; 2; 10; 20; 24; 14; 8; 6],[.3.2.2 2 0],{1; -2; 3; -1; 4; -5; 6; -7; 8; -9; 2; -3; 9; -10; 11; -4; 12; -8; 10; -11; 7; -6; 5; -12},[[1;5;2;4];[3;13;4;12];[5;17;6;16];[7;22;8;23];[9;18;10;19];[11;3;12;2];[13;11;14;10];[15;20;16;21];[17;1;18;24];[19;14;20;15];[21;8;22;9];[23;6;24;7]],12,1,3,5,,{-1;2;2;-3;1;-3;1;2;-3;-4;3;-4;2;-3},chiral,1,Not Montesinos
12a_607,Y,12a_607,1409,[4; 12; 16; 22; 18; 2; 20; 24; 8; 10; 14; 6],[2.3.2 0.2 1],{1; -2; 3; -1; 4; -5; 6; -7; 8; -9; 2; -3; 10; -11; 12; -4; 7; -8; 9; -10; 11; -6; 5; -12},[[1;5;2;4];[3;13;4;12];[5;16;6;17];[7;22;8;23];[9;18;10;19];[11;3;12;2];[13;20;14;21];[15;24;16;1];[17;8;18;9];[19;10;20;11];[21;14;22;15];[23;6;24;7]],12,2,3,4,,{1;-2;-3;-3;-2;-2;1;-2;-2;-2;3;-2;1},chiral,1,Not Montesinos
12a_608,Y,12a_608,1410,[4; 12; 16; 22; 18; 2; 20; 24; 10; 8; 14; 6],[2 1.3.2.2],{1; -2; 3; -1; 4; -5; 6; -7; 8; -9; 2; -3; 10; -11; 12; -4; 9; -8; 7; -10; 11; -6; 5; -12},[[1;5;2;4];[3;13;4;12];[5;16;6;17];[7;22;8;23];[9;18;10;19];[11;3;12;2];[13;20;14;21];[15;24;16;1];[17;10;18;11];[19;8;20;9];[21;14;22;15];[23;6;24;7]],12,1,3,5,,{1;-2;3;3;-2;-1;-1;-2;-2;3;-4;-2;-3;2;-3;4},chiral,1,Not Montesinos
12a_609,Y,12a_609,1411,[4; 12; 16; 22; 18; 2; 24; 20; 10; 6; 14; 8],[2.2.2 1 1.2 0],{1; -2; 3; -1; 4; -5; 6; -7; 8; -9; 2; -3; 10; -11; 12; -4; 9; -8; 5; -12; 11; -6; 7; -10},[[1;5;2;4];[3;13;4;12];[5;16;6;17];[7;22;8;23];[9;18;10;19];[11;3;12;2];[13;24;14;1];[15;20;16;21];[17;10;18;11];[19;6;20;7];[21;14;22;15];[23;8;24;9]],12,2,3,5,,{1;-2;-3;-3;4;-2;-1;-1;2;-3;-2;4;-2;4;-2;3},chiral,1,Not Montesinos
12a_610,Y,12a_610,1412,[4; 12; 16; 22; 20; 2; 18; 6; 24; 10; 8; 14],[4:2 1:2],{1; -2; 3; -1; 4; -5; 6; -7; 8; -9; 2; -3; 10; -11; 5; -4; 12; -10; 9; -8; 7; -6; 11; -12},[[1;5;2;4];[3;13;4;12];[5;17;6;16];[7;23;8;22];[9;21;10;20];[11;3;12;2];[13;19;14;18];[15;7;16;6];[17;1;18;24];[19;11;20;10];[21;9;22;8];[23;15;24;14]],12,[2;3],3,6,,{1;1;1;2;-1;3;-2;1;3;2;2;4;-3;4;5;-4;5},chiral,1,Not Montesinos
12a_611,Y,12a_611,1413,[4; 12; 16; 22; 20; 2; 18; 8; 24; 10; 14; 6],[8*2 1:.2:.2],{1; -2; 3; -1; 4; -5; 6; -7; 8; -9; 2; -3; 10; -11; 7; -4; 12; -10; 9; -8; 11; -6; 5; -12},[[1;5;2;4];[3;13;4;12];[5;17;6;16];[7;22;8;23];[9;21;10;20];[11;3;12;2];[13;19;14;18];[15;9;16;8];[17;1;18;24];[19;11;20;10];[21;15;22;14];[23;6;24;7]],12,2,3,5,,{-1;-2;3;4;4;3;-2;3;-4;3;1;1;2;2;-3;2},chiral,1,Not Montesinos
